case_type,case_complexity,num_witnesses,num_evidence_docs,lawyer_experience,court_level,previous_adjournments,total_hearings
civil,4,5,9,8,high,1,22
criminal,2,3,11,4,high,3,17
cyber,2,2,18,3,district,3,16
cyber,4,10,69,18,high,1,31
cyber,5,6,40,14,high,4,32
civil,5,9,70,5,supreme,3,41
civil,1,4,17,8,high,4,17
criminal,3,11,8,8,high,3,25
civil,4,14,68,20,district,3,28
cyber,2,17,44,7,supreme,3,32
civil,3,16,62,3,supreme,5,43
criminal,1,18,16,13,district,1,11
cyber,1,3,19,6,high,3,14
cyber,4,13,27,17,supreme,4,33
criminal,2,19,31,14,district,5,27
criminal,4,19,56,13,high,1,32
criminal,5,11,75,19,supreme,1,39
civil,2,18,68,3,supreme,1,31
cyber,3,12,21,4,district,1,19
criminal,5,13,64,8,district,6,42
cyber,3,16,34,20,district,0,18
criminal,3,7,17,12,supreme,1,23
criminal,3,12,42,12,district,6,30
civil,5,5,64,18,high,0,30
cyber,2,14,13,15,high,1,16
civil,2,11,30,7,district,4,21
cyber,4,10,68,16,district,2,26
cyber,5,1,16,8,high,0,25
criminal,1,1,66,15,supreme,0,14
cyber,2,1,59,14,supreme,6,27
criminal,4,8,39,18,district,5,27
civil,3,6,39,7,district,2,22
criminal,1,18,59,14,supreme,1,23
civil,4,7,33,15,district,0,18
criminal,2,19,41,20,high,5,29
cyber,4,13,6,10,high,0,25
civil,2,8,41,9,high,0,17
criminal,2,4,61,5,supreme,3,29
cyber,3,10,56,20,high,2,25
civil,1,12,56,13,district,0,14
criminal,1,14,53,9,district,3,19
cyber,5,19,75,18,district,0,31
civil,4,5,65,15,district,4,30
criminal,2,1,64,15,high,3,22
criminal,5,8,79,16,district,5,38
cyber,5,3,39,11,supreme,2,36
civil,1,7,65,9,high,2,20
civil,1,2,35,10,district,1,7
criminal,5,14,63,18,district,0,27
cyber,2,7,60,8,district,4,23
civil,4,19,19,9,district,2,30
criminal,4,12,14,9,supreme,0,31
criminal,1,13,72,13,supreme,0,24
civil,4,12,49,5,district,3,29
civil,1,20,52,3,district,5,26
cyber,4,10,38,16,supreme,5,35
criminal,3,19,51,13,district,2,27
criminal,3,5,75,17,district,6,26
cyber,2,19,16,9,high,0,19
civil,2,16,39,13,supreme,4,33
criminal,1,15,15,13,high,0,14
civil,4,17,19,9,high,3,35
cyber,2,6,61,8,high,0,21
criminal,5,15,10,11,high,0,29
cyber,1,2,79,3,supreme,4,24
criminal,1,10,34,4,supreme,1,23
civil,2,8,62,17,high,3,21
cyber,3,11,41,18,high,5,31
criminal,2,2,78,12,supreme,5,31
cyber,4,18,38,4,supreme,5,44
civil,4,5,67,3,supreme,4,38
criminal,4,20,59,17,district,3,35
criminal,1,18,47,17,supreme,3,25
criminal,5,16,18,12,high,5,40
civil,2,6,50,20,high,1,15
cyber,2,3,78,16,high,4,25
cyber,2,20,49,17,district,2,24
civil,3,17,23,9,high,0,23
criminal,2,13,64,14,high,2,25
criminal,5,12,27,10,district,5,36
cyber,3,15,57,9,supreme,0,29
criminal,1,20,10,9,high,4,25
criminal,5,9,40,12,high,5,38
cyber,3,1,18,6,district,0,11
criminal,5,5,42,4,supreme,2,36
civil,5,20,68,6,high,2,41
criminal,4,18,21,8,district,5,32
cyber,2,15,53,3,district,4,25
civil,5,19,21,20,high,3,35
criminal,1,13,6,8,supreme,2,19
cyber,3,11,9,20,district,2,17
civil,4,18,67,16,district,6,38
civil,2,5,67,16,district,2,16
cyber,3,17,71,9,district,4,30
criminal,3,4,63,6,supreme,5,32
criminal,2,3,39,11,high,5,24
cyber,3,3,15,4,district,6,21
criminal,5,17,67,17,supreme,5,46
criminal,2,5,5,14,high,3,15
criminal,1,11,44,19,supreme,3,23
cyber,4,2,50,19,district,2,20
criminal,3,5,6,13,supreme,4,27
civil,4,11,41,3,high,0,31
cyber,4,19,65,8,district,0,29
civil,5,14,15,17,high,6,36
civil,4,16,58,11,district,4,31
cyber,4,13,29,5,high,2,32
civil,3,5,20,12,district,4,18
civil,2,18,64,13,supreme,4,35
cyber,3,18,66,10,district,6,33
cyber,4,2,76,20,supreme,3,32
cyber,4,15,43,18,district,6,33
cyber,1,11,74,3,district,6,26
cyber,3,12,8,4,district,6,29
civil,1,3,14,7,supreme,0,12
civil,3,14,48,12,high,0,27
civil,3,1,51,4,supreme,3,27
cyber,5,18,12,8,district,1,32
criminal,3,13,51,20,supreme,5,34
civil,2,6,42,14,high,1,15
civil,5,19,31,17,supreme,4,42
criminal,3,16,10,4,district,3,22
civil,3,7,76,15,district,3,26
criminal,5,10,44,8,high,5,41
cyber,1,16,15,14,high,5,23
cyber,1,1,39,17,high,2,14
civil,1,6,70,18,high,4,22
cyber,5,10,73,3,high,6,42
civil,1,6,74,19,district,0,10
civil,3,15,12,14,supreme,2,26
criminal,5,19,19,15,high,6,43
cyber,4,3,59,11,supreme,5,34
civil,3,6,25,5,high,1,20
criminal,5,4,50,11,district,0,26
cyber,3,6,7,7,supreme,3,24
civil,5,16,78,8,supreme,3,48
civil,2,6,26,13,district,6,21
cyber,4,18,65,11,supreme,5,44
civil,3,14,58,14,high,2,29
criminal,4,16,60,12,supreme,5,44
civil,2,8,12,11,district,3,16
civil,2,6,68,12,supreme,2,28
cyber,2,10,36,19,high,4,23
criminal,5,2,71,7,high,3,36
civil,5,3,10,19,high,4,29
criminal,2,3,20,10,supreme,6,26
civil,3,8,34,12,high,0,22
cyber,4,16,52,16,district,2,29
cyber,4,4,15,11,district,6,27
civil,2,12,34,20,supreme,0,22
criminal,3,20,48,15,high,5,37
cyber,3,15,73,4,high,2,31
cyber,1,7,67,13,high,2,16
civil,5,18,61,10,district,4,37
civil,5,20,52,20,high,3,39
cyber,3,10,5,18,high,1,17
cyber,2,17,60,5,supreme,1,33
cyber,4,11,80,13,district,5,36
cyber,5,15,39,17,high,0,32
cyber,3,9,42,15,supreme,1,26
civil,3,9,66,15,district,0,19
criminal,2,14,57,7,high,1,22
civil,5,15,78,18,district,5,37
criminal,3,15,58,14,supreme,2,34
civil,2,6,43,4,supreme,0,22
civil,5,14,17,3,supreme,2,40
civil,5,6,32,7,district,0,22
cyber,2,3,20,15,district,6,19
cyber,1,2,10,9,supreme,4,16
criminal,4,6,50,6,high,1,28
criminal,2,11,60,17,supreme,5,30
civil,5,19,60,4,supreme,5,49
civil,1,19,71,18,district,4,23
civil,4,12,13,17,high,5,31
criminal,2,16,32,10,district,1,19
civil,4,2,39,17,supreme,3,31
criminal,4,8,78,4,district,0,25
cyber,3,16,40,7,high,1,27
criminal,2,10,41,10,district,3,19
cyber,5,5,41,6,district,4,30
criminal,1,10,63,17,high,5,25
cyber,4,11,17,13,high,6,33
civil,5,9,45,6,supreme,0,34
cyber,5,6,13,14,supreme,1,31
criminal,4,14,36,14,supreme,6,41
cyber,4,4,10,5,district,0,19
civil,3,15,78,9,high,0,30
criminal,2,9,65,9,high,5,26
cyber,1,8,60,13,district,4,19
criminal,2,5,16,5,district,3,15
civil,2,15,13,13,district,0,15
cyber,1,6,63,3,supreme,6,29
criminal,3,19,66,10,supreme,2,38
criminal,4,14,44,4,supreme,3,37
civil,4,12,60,5,high,6,39
cyber,3,4,41,14,district,0,13
criminal,2,8,53,9,supreme,1,27
civil,1,10,26,16,district,2,13
criminal,3,14,10,20,high,4,28
cyber,1,17,19,16,district,6,21
cyber,1,20,24,17,supreme,1,21
criminal,3,15,7,5,district,6,26
criminal,2,18,49,9,supreme,0,30
civil,4,13,26,16,supreme,2,32
civil,5,4,52,5,supreme,6,42
criminal,1,5,20,20,supreme,3,16
cyber,4,7,71,4,supreme,2,37
cyber,4,18,38,7,high,2,36
civil,3,14,73,11,supreme,5,40
civil,1,4,48,17,supreme,4,23
cyber,5,1,10,18,district,3,22
criminal,5,8,20,18,high,1,25
cyber,1,11,56,10,high,2,18
criminal,1,19,77,15,supreme,6,35
criminal,4,20,56,3,supreme,6,50
criminal,4,1,67,4,supreme,4,36
cyber,2,1,11,5,district,2,13
civil,1,10,57,7,supreme,3,25
civil,2,5,6,10,supreme,5,24
criminal,4,8,44,17,high,2,26
cyber,4,19,58,15,district,3,32
cyber,2,20,25,16,district,4,21
cyber,3,12,6,8,high,2,25
cyber,3,13,25,15,district,6,28
criminal,1,1,5,12,high,4,12
cyber,4,7,35,8,supreme,0,27
criminal,1,3,60,20,high,0,9
criminal,2,10,54,4,supreme,2,27
cyber,4,6,15,17,supreme,3,29
criminal,1,19,75,18,high,0,19
criminal,5,16,43,20,high,6,40
civil,2,13,8,9,high,2,21
cyber,4,15,42,8,high,6,40
criminal,2,4,71,13,high,6,25
cyber,4,18,29,7,supreme,0,34
criminal,5,3,20,10,supreme,3,36
civil,4,4,56,4,high,2,29
civil,3,8,79,20,high,1,24
civil,4,19,69,11,high,5,43
cyber,2,19,56,9,high,1,25
cyber,5,20,66,20,supreme,6,50
cyber,4,7,48,18,supreme,2,32
cyber,5,2,56,5,high,6,40
criminal,4,3,9,6,supreme,5,30
criminal,5,17,71,13,high,6,46
criminal,4,9,71,19,district,6,30
criminal,1,15,72,9,high,6,29
criminal,1,2,27,19,district,3,8
cyber,2,6,45,3,high,3,24
civil,2,16,28,8,district,0,18
civil,5,4,42,6,high,3,31
criminal,1,17,34,7,district,2,16
cyber,2,16,13,20,district,0,14
civil,4,20,53,16,district,5,37
civil,4,17,16,3,high,2,32
civil,5,7,44,16,district,1,28
civil,4,2,22,20,supreme,6,32
criminal,1,12,40,3,supreme,2,26
civil,1,3,14,14,supreme,4,17
cyber,2,12,78,18,district,3,22
criminal,3,15,76,20,supreme,5,38
cyber,1,1,61,17,high,5,16
criminal,1,14,60,7,district,4,21
criminal,3,2,51,3,high,2,26
cyber,3,8,70,14,high,1,26
civil,2,6,19,20,supreme,6,26
civil,2,6,43,4,high,0,19
criminal,5,8,37,12,supreme,0,31
civil,4,13,41,17,district,0,21
civil,1,20,33,10,high,4,24
cyber,3,7,17,19,high,3,23
cyber,2,9,67,16,district,3,20
civil,1,10,25,17,district,5,15
civil,2,5,31,20,high,4,18
civil,3,5,22,9,high,0,17
criminal,4,9,33,18,supreme,4,33
criminal,5,17,45,4,high,0,36
criminal,3,17,31,7,high,1,25
criminal,2,11,18,10,district,3,17
criminal,1,7,42,18,high,6,22
civil,2,8,50,7,high,1,20
cyber,3,11,17,5,high,0,24
cyber,3,7,27,11,high,6,31
civil,1,5,39,18,district,3,13
civil,1,18,6,10,district,5,21
cyber,2,10,77,7,district,5,27
civil,5,20,22,11,high,6,41
criminal,1,1,64,12,high,6,22
cyber,1,8,77,10,district,5,22
cyber,3,1,69,7,supreme,3,30
criminal,3,18,22,18,district,3,25
criminal,1,16,38,5,district,4,22
cyber,5,20,5,16,district,6,37
civil,5,3,51,13,high,1,30
cyber,5,12,47,3,high,0,33
cyber,1,6,23,10,district,1,7
civil,3,20,76,7,district,6,38
criminal,2,8,23,20,high,3,18
civil,3,17,56,14,supreme,0,33
civil,1,11,9,19,district,0,8
cyber,5,18,38,18,high,4,38
cyber,3,1,60,6,district,6,27
civil,1,12,15,4,high,5,22
civil,4,12,46,5,district,0,25
criminal,1,16,11,14,supreme,0,16
criminal,5,5,60,7,supreme,1,34
criminal,1,4,56,15,district,0,7
civil,4,16,35,4,district,1,28
civil,4,9,80,6,high,2,33
civil,1,5,25,14,district,2,10
criminal,3,1,27,8,district,1,13
cyber,4,13,52,4,high,1,30
civil,5,12,7,3,supreme,6,41
criminal,4,2,40,10,high,4,30
cyber,1,4,58,10,supreme,6,27
criminal,1,18,68,3,high,2,27
criminal,2,17,34,15,high,2,21
criminal,2,2,26,9,high,3,16
civil,5,17,23,6,high,4,41
civil,2,13,71,10,district,4,26
cyber,3,10,50,13,district,0,17
criminal,2,13,21,16,high,3,19
criminal,1,17,62,18,district,2,19
cyber,2,15,73,5,supreme,6,36
criminal,2,6,38,8,supreme,4,26
civil,2,20,55,20,district,3,23
criminal,5,6,21,12,district,1,26
civil,2,5,11,3,supreme,0,17
civil,2,14,64,11,supreme,1,26
civil,4,2,62,11,high,3,30
cyber,1,10,63,20,supreme,2,22
criminal,3,6,23,17,district,1,15
civil,3,8,28,20,high,6,26
criminal,4,6,29,19,district,1,17
cyber,4,20,78,17,high,0,33
criminal,5,13,42,6,district,3,34
cyber,3,10,7,17,high,3,22
cyber,1,2,68,20,supreme,1,19
criminal,1,7,76,3,supreme,0,24
civil,2,20,26,15,district,2,22
civil,5,12,19,14,high,2,30
criminal,4,19,29,3,district,2,28
cyber,5,17,67,19,high,0,37
cyber,3,14,66,15,district,5,30
criminal,2,16,57,15,supreme,2,30
civil,1,15,76,14,district,0,17
civil,4,20,70,6,supreme,5,47
civil,4,12,34,8,district,5,32
criminal,2,8,29,14,district,0,10
criminal,5,1,14,4,district,5,30
cyber,4,11,59,17,supreme,2,35
cyber,3,10,35,20,high,1,20
cyber,2,9,24,13,supreme,5,27
cyber,5,11,64,19,high,1,35
cyber,2,15,72,8,high,1,25
cyber,5,13,37,10,high,3,34
civil,5,5,73,19,district,5,32
criminal,4,19,49,11,high,2,36
criminal,5,5,72,4,high,3,38
civil,2,20,71,15,supreme,2,35
cyber,5,19,79,6,supreme,0,42
civil,5,13,50,18,high,0,32
criminal,1,20,13,11,high,4,25
criminal,3,8,72,9,district,2,24
criminal,1,6,27,17,high,0,11
cyber,3,13,67,18,supreme,1,29
cyber,3,10,36,19,district,4,24
civil,3,10,66,4,high,1,27
criminal,5,7,19,11,high,1,26
cyber,3,4,22,20,supreme,5,28
civil,5,20,19,8,high,1,37
civil,3,19,31,17,high,3,29
cyber,1,12,7,8,district,3,13
cyber,4,14,37,18,district,4,31
cyber,4,15,6,14,supreme,5,36
civil,5,6,46,16,high,2,31
civil,4,14,43,8,supreme,4,40
criminal,3,11,27,15,supreme,5,33
cyber,4,1,8,9,supreme,3,28
criminal,3,6,32,6,supreme,0,25
criminal,4,20,37,14,district,3,33
criminal,2,16,40,19,district,4,22
civil,5,10,40,17,high,5,36
criminal,5,8,63,7,high,6,42
cyber,1,4,56,12,high,1,14
civil,5,15,71,16,supreme,0,37
cyber,2,16,61,12,high,4,31
criminal,5,4,76,5,high,4,38
cyber,3,20,78,20,district,3,32
cyber,1,16,50,6,district,4,23
civil,2,3,8,15,district,4,14
criminal,2,16,13,19,supreme,4,28
civil,3,19,18,18,district,0,21
civil,5,9,64,11,high,3,37
cyber,1,6,66,17,district,3,13
criminal,3,15,39,15,district,5,27
civil,5,9,43,11,high,3,33
civil,4,20,18,16,district,3,27
civil,2,8,17,7,high,5,25
criminal,5,3,23,6,district,6,30
civil,3,10,69,4,district,5,29
cyber,3,10,69,18,supreme,3,32
civil,1,10,71,3,high,3,24
cyber,3,2,31,4,district,1,17
cyber,1,14,13,19,district,2,11
cyber,3,10,8,7,district,5,25
civil,1,18,54,3,high,1,23
civil,3,16,48,4,supreme,0,30
criminal,3,18,44,5,supreme,3,38
civil,4,7,50,7,district,0,21
criminal,2,7,16,4,high,1,16
cyber,5,19,47,5,high,2,38
civil,5,12,76,9,district,1,33
cyber,3,15,28,18,supreme,1,29
criminal,5,1,53,5,high,4,34
cyber,5,18,61,6,supreme,2,42
criminal,4,11,61,7,high,0,31
criminal,2,5,13,13,high,0,13
criminal,2,12,39,17,high,5,24
criminal,1,5,50,15,district,2,12
civil,4,5,59,18,supreme,0,30
civil,3,1,44,20,high,1,20
civil,5,5,50,12,supreme,2,36
cyber,2,12,46,17,district,6,23
criminal,3,13,28,13,supreme,4,33
criminal,3,20,35,7,supreme,4,36
criminal,1,2,19,3,high,3,12
civil,2,5,74,19,supreme,6,31
civil,2,11,67,14,high,6,31
criminal,4,17,44,9,district,6,34
civil,3,10,20,9,high,1,20
criminal,2,18,63,3,district,6,29
civil,1,2,36,3,supreme,3,21
civil,5,14,52,17,district,3,32
criminal,2,13,33,9,high,4,28
civil,4,11,43,14,supreme,6,39
criminal,3,10,7,18,district,5,21
criminal,2,4,60,4,district,1,17
cyber,3,12,37,3,district,5,29
cyber,4,11,58,11,high,4,33
cyber,1,11,24,4,high,0,13
criminal,4,9,59,10,district,6,33
criminal,5,17,10,19,high,2,33
cyber,3,15,39,17,supreme,4,32
civil,1,16,54,3,supreme,3,29
criminal,3,6,51,14,district,3,20
criminal,4,16,34,13,supreme,5,41
civil,5,1,75,14,supreme,5,38
cyber,4,18,36,18,supreme,2,38
cyber,2,17,19,11,supreme,6,35
criminal,2,7,63,19,high,1,18
civil,4,8,55,5,high,0,29
criminal,4,12,19,19,district,0,18
civil,1,19,35,13,high,6,25
criminal,5,17,54,14,district,1,31
civil,5,14,26,6,supreme,4,42
criminal,4,13,65,13,supreme,2,36
cyber,2,7,74,17,high,1,21
criminal,1,3,42,17,district,3,10
cyber,4,6,62,9,district,6,31
civil,2,12,24,7,high,2,24
criminal,3,1,33,12,district,4,19
cyber,2,6,64,11,high,3,21
cyber,1,10,25,18,district,1,11
criminal,2,9,35,19,high,4,24
cyber,1,6,44,6,high,4,19
cyber,1,8,56,11,high,0,16
civil,5,1,34,18,high,0,26
criminal,5,9,61,10,high,0,32
cyber,4,13,66,14,supreme,0,36
criminal,4,17,5,8,high,1,28
criminal,5,1,75,17,high,3,32
civil,1,2,48,13,district,1,8
civil,5,4,20,3,high,0,25
civil,1,1,79,10,supreme,1,17
criminal,2,2,24,17,supreme,4,21
criminal,1,11,61,12,district,6,21
cyber,5,7,63,10,district,4,35
criminal,5,2,75,7,supreme,2,38
criminal,4,4,38,11,high,0,25
criminal,2,20,41,15,supreme,0,26
cyber,1,14,78,5,district,5,24
civil,1,9,73,12,high,2,20
civil,2,6,18,14,high,5,23
